File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\CharExtensions.cs,18,16,10,1,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Lexer.cs,1048,991,497,162,40,9,17,200,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Preprocessor.cs,215,169,98,20,21,11,25,430,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\StringExtensions.cs,178,154,74,31,20,2,4,69,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\TokenEnumerator.cs,210,168,101,35,35,0,7,57,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Tokenizer.cs,623,530,236,35,39,1,54,568,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\Break.cs,13,11,7,0,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ConditionalBlock.cs,46,40,21,2,6,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\Continue.cs,13,11,7,0,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\DataType.cs,74,66,36,16,8,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\DoWhileLoop.cs,21,18,12,0,3,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\Element.cs,13,11,7,0,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\Expression.cs,67,24,14,0,6,0,37,585,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ExpressionArrayAccess.cs,36,30,16,1,6,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ExpressionConstant.cs,107,81,53,0,18,0,8,50,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ExpressionElement.cs,190,165,105,48,5,0,20,180,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ExpressionFunctionCall.cs,29,25,17,1,4,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ExpressionFunctionParameter.cs,25,20,14,0,3,0,2,20,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ExpressionIdentifier.cs,19,16,10,0,3,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\ExpressionMemberAccess.cs,19,16,10,0,3,0,0,0,0,0
