Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,55,4583,3862,2102,433,435,28,286,2926,0,0
C:\Users\Chris\Documents\GitHub\Cix,55,4583,3862,2102,433,435,28,286,2926,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix,55,4583,3862,2102,433,435,28,286,2926,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix,55,4583,3862,2102,433,435,28,286,2926,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix,51,4298,3657,1983,421,403,28,238,2662,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixFrontend,2,225,169,102,12,25,0,31,144,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixFrontend\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixFrontend\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixFrontend\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixTests,2,60,36,17,0,7,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixTests\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixTests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixTests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST,40,1849,1511,903,136,224,5,114,1218,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\Generator,4,395,301,198,32,58,5,36,296,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\Generator\IntermediateForms,2,51,43,31,0,8,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Exceptions,4,120,103,61,1,17,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
